question_en,question_hi,question_mr,intent,answer_en,answer_hi,answer_mr
Show me grade card please?,मुझे दिखाइए ग्रेड कार्ड please?,मला दाखवा ग्रेड कार्ड please?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Who handles exam registration please?,कौन संभालता है परीक्षा पंजीकरण please?,कोण सांभाळतो परीक्षा नोंदणी please?,exam,The exam schedule is released before each semester. Look at the academic calendar.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Is there timetable portal for students?,क्या वहाँ है टाइमटेबल पोर्टल for students?,आहे का वेळापत्रक पोर्टल for students?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Who handles exam schedule?,कौन संभालता है परीक्षा समय सारणी?,कोण सांभाळतो परीक्षा वेळापत्रक?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Tell me eligibility criteria?,बताइए पात्रता मानदंड?,मला सांगू पात्रता निकष?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Where can I admit card please?,कहाँ मैं एडमिट कार्ड please?,मी कुठे एडमिट कार्ड please?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Where can I exam dates for this year?,कहाँ मैं परीक्षा की तिथियां for this year?,मी कुठे परीक्षेच्या तारखा for this year?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
When are fee refund for this year?,कब हैं फीस रिफंड for this year?,केव्हा आहेत फी परतावा for this year?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Show me result notification please?,मुझे दिखाइए परिणाम सूचना please?,मला दाखवा निकाल सूचना please?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Do you have how to get result for this year?,क्या आपके पास है परिणाम कैसे पाएं for this year?,तुमच्याकडे आहे का निकाल कसा मिळवायचा for this year?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Do you have admission dates please?,क्या आपके पास है प्रवेश तिथियाँ please?,तुमच्याकडे आहे का प्रवेश तारखा please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Can I fee receipt for this year?,क्या मैं फीस रसीद for this year?,मी करू शकतो का फी पावती for this year?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
How to exam pattern for students?,कैसे परीक्षा पैटर्न for students?,कसे परीक्षा नमुना for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Do you have how to apply?,क्या आपके पास है कैसे आवेदन करें?,तुमच्याकडे आहे का कसे अर्ज करावे?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Who handles how to apply please?,कौन संभालता है कैसे आवेदन करें please?,कोण सांभाळतो कसे अर्ज करावे please?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Who handles late fee?,कौन संभालता है लेट फीस?,कोण सांभाळतो लेट फी?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
How to lab timetable?,कैसे प्रयोगशाळा समय सारणी?,कसे लॅब वेळापत्रक?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Who handles update timetable for this year?,कौन संभालता है समय सारणी अपडेट for this year?,कोण सांभाळतो वेळापत्रक अपडेट for this year?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have timetable changes?,क्या आपके पास है समय सारणी में बदलाव?,तुमच्याकडे आहे का वेळापत्रक बदल?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Who handles view timetable please?,कौन संभालता है समय सारणी देखें please?,कोण सांभाळतो वेळापत्रक पहा please?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
What is timetable pdf for students?,क्या है टाइमटेबल पीडीएफ for students?,काय आहे वेळापत्रक PDF for students?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Show me lab timetable for this year?,मुझे दिखाइए प्रयोगशाळा समय सारणी for this year?,मला दाखवा लॅब वेळापत्रक for this year?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Where can I late fee?,कहाँ मैं लेट फीस?,मी कुठे लेट फी?,fees,Fees can be paid online via the portal or at the accounts office.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Show me application deadline please?,मुझे दिखाइए आवेदन की अंतिम तिथि please?,मला दाखवा अर्जाची अंतिम तारीख please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Where can I admission fees for students?,कहाँ मैं प्रवेश शुल्क for students?,मी कुठे प्रवेश फी for students?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Where can I admission portal?,कहाँ मैं प्रवेश पोर्टल?,मी कुठे प्रवेश पोर्टल?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Do you have online exam?,क्या आपके पास है ऑनलाइन परीक्षा?,तुमच्याकडे आहे का ऑनलाइन परीक्षा?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Where can I result notification for students?,कहाँ मैं परिणाम सूचना for students?,मी कुठे निकाल सूचना for students?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
What is how to pay fees for this year?,क्या है फीस कैसे भरें for this year?,काय आहे फीस कसे भरणे for this year?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Where can I exam timetable?,कहाँ मैं परीक्षा समय सारणी?,मी कुठे परीक्षा वेळापत्रक?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Can I exam syllabus for students?,क्या मैं परीक्षा पाठ्यक्रम for students?,मी करू शकतो का परीक्षा अभ्यासक्रम for students?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
How to admission process please?,कैसे प्रवेश प्रक्रिया please?,कसे प्रवेश प्रक्रिया please?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
What is admission portal?,क्या है प्रवेश पोर्टल?,काय आहे प्रवेश पोर्टल?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Who handles how to apply please?,कौन संभालता है कैसे आवेदन करें please?,कोण सांभाळतो कसे अर्ज करावे please?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Tell me online exam?,बताइए ऑनलाइन परीक्षा?,मला सांगू ऑनलाइन परीक्षा?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Show me exam centre for students?,मुझे दिखाइए परीक्षा केंद्र for students?,मला दाखवा परीक्षा केंद्र for students?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Do you have exam syllabus for students?,क्या आपके पास है परीक्षा पाठ्यक्रम for students?,तुमच्याकडे आहे का परीक्षा अभ्यासक्रम for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Is there marks sheet for this year?,क्या वहाँ है मार्कशीट for this year?,आहे का मार्कशीट for this year?,results,Results are published on the official college website and student portal.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Is there online payment for students?,क्या वहाँ है ऑनलाइन भुगतान for students?,आहे का ऑनलाइन पेमेंट for students?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
What is fee structure?,क्या है फीस संरचना?,काय आहे फी संरचना?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
What is fee deadline please?,क्या है फीस की अंतिम तिथि please?,काय आहे फीची अंतिम तारीख please?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Who handles how to get result please?,कौन संभालता है परिणाम कैसे पाएं please?,कोण सांभाळतो निकाल कसा मिळवायचा please?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Is there late fee for students?,क्या वहाँ है लेट फीस for students?,आहे का लेट फी for students?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Can I how to apply for students?,क्या मैं कैसे आवेदन करें for students?,मी करू शकतो का कसे अर्ज करावे for students?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Show me exam syllabus please?,मुझे दिखाइए परीक्षा पाठ्यक्रम please?,मला दाखवा परीक्षा अभ्यासक्रम please?,exam,The exam schedule is released before each semester. Look at the academic calendar.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
How to admission process?,कैसे प्रवेश प्रक्रिया?,कसे प्रवेश प्रक्रिया?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
What is how to apply please?,क्या है कैसे आवेदन करें please?,काय आहे कसे अर्ज करावे please?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Tell me how to get result?,बताइए परिणाम कैसे पाएं?,मला सांगू निकाल कसा मिळवायचा?,results,Results are published on the official college website and student portal.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Tell me exam registration?,बताइए परीक्षा पंजीकरण?,मला सांगू परीक्षा नोंदणी?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
How to scholarship for students?,कैसे छात्रवृत्ति for students?,कसे शिष्यवृत्ती for students?,fees,Fees can be paid online via the portal or at the accounts office.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Who handles admit card?,कौन संभालता है एडमिट कार्ड?,कोण सांभाळतो एडमिट कार्ड?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Is there how to get result for this year?,क्या वहाँ है परिणाम कैसे पाएं for this year?,आहे का निकाल कसा मिळवायचा for this year?,results,Results are published on the official college website and student portal.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
When are how to get result?,कब हैं परिणाम कैसे पाएं?,केव्हा आहेत निकाल कसा मिळवायचा?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
When are how to apply please?,कब हैं कैसे आवेदन करें please?,केव्हा आहेत कसे अर्ज करावे please?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
How to exam schedule for this year?,कैसे परीक्षा समय सारणी for this year?,कसे परीक्षा वेळापत्रक for this year?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Do you have download marksheet for students?,क्या आपके पास है मार्कशीट डाउनलोड करें for students?,तुमच्याकडे आहे का मार्कशीट डाउनलोड करा for students?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Is there class timetable?,क्या वहाँ है क्लास टाइमटेबल?,आहे का क्लास वेळापत्रक?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Do you have result portal please?,क्या आपके पास है परिणाम पोर्टल please?,तुमच्याकडे आहे का निकाल पोर्टल please?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
How to merit list for this year?,कैसे मेरिट सूची for this year?,कसे मेरिट यादी for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Show me timetable portal?,मुझे दिखाइए टाइमटेबल पोर्टल?,मला दाखवा वेळापत्रक पोर्टल?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Do you have online exam?,क्या आपके पास है ऑनलाइन परीक्षा?,तुमच्याकडे आहे का ऑनलाइन परीक्षा?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
How to update timetable?,कैसे समय सारणी अपडेट?,कसे वेळापत्रक अपडेट?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
What is exam centre for students?,क्या है परीक्षा केंद्र for students?,काय आहे परीक्षा केंद्र for students?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Show me online exam for students?,मुझे दिखाइए ऑनलाइन परीक्षा for students?,मला दाखवा ऑनलाइन परीक्षा for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Who handles update timetable please?,कौन संभालता है समय सारणी अपडेट please?,कोण सांभाळतो वेळापत्रक अपडेट please?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Where can I update timetable?,कहाँ मैं समय सारणी अपडेट?,मी कुठे वेळापत्रक अपडेट?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Is there fee concession for this year?,क्या वहाँ है फीस रियायती for this year?,आहे का फी सवलत for this year?,fees,Fees can be paid online via the portal or at the accounts office.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
